Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Daniel Nofal,Enzyme Venture Capital,,,,Venture Capital, ,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$50.00,$250.00,"Buenos Aires, Argentina", ,,,,,,,,,,,,,,,
John P. Truehart,Hudson Ventures,,,,Venture Capital,www.hudsonptr.com,"Mid Atlantic, Northeast","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.60,"New York, NY",www.hudsonptr.com,,,,,,,,,,,,,,,
David C. Blivin,Cottonwood Technology Fund,,,,Venture Capital,www.cottonwood.vc,"Northern Europe, Southwest, Western Europe","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.30,"Santa Fe, NM",www.cottonwood.vc,,,,,,,,,,,,,,,
Keith Rabois,OpenDoor,,,,Angel (individual), ,"California, New York",,,"Convertible Debt,SAFE,Debt",$0.04,$0.10,"San Francisco, CA", ,,,,,,,,,,,,,,,
Linden Rhoads,The W Fund,,,,Venture Capital,www.thewfund.com,Washington,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.thewfund.com,,,,,,,,,,,,,,,
Ronald C. Conway,Active Angel Investors,,,,Angel Group,www.activeangelinvestors.com,"Maryland, Virginia, Washington","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.08,"Vienna, VA",www.activeangelinvestors.com,,,,,,,,,,,,,,,
John Hamel,Cue Ball,,,,Venture Capital,www.cueball.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$1.50,"Boston, MA",www.cueball.com,,,,,,,,,,,,,,,
Alex Prescot,Eight Roads,,,,Venture Capital,www.eightroads.com,"Asia, Europe, North America","Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$3.00,$1.00,"London, United Kingdom",www.eightroads.com,,,,,,,,,,,,,,,
Matthew A. King,FCA Venture Partners,,,,Venture Capital,www.fcavp.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.60,"Brentwood, TN",www.fcavp.com,,,,,,,,,,,,,,,
Allison Long Pettine,Crescent Ridge Partners,,,,Venture Capital,www.crescentridgepartners.com,North America,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"San Diego, CA",www.crescentridgepartners.com,,,,,,,,,,,,,,,
Mathieu Chabran,Tikehau Capital (PAR: TKO),,,,Asset Manager,www.tikehaucapital.com,,"Acquisition Financing,Buy-out,Early Stage,Late Stage,PE Growth/Expansion",,"Bonds,Convertible Debt,Debt,Debt Refinancing",$11.30,$282.49,"Paris, France",www.tikehaucapital.com,,,,,,,,,,,,,,,
Kevin Anthony Kunz,Austin Ventures,,,,Venture Capital,www.austinventures.com,Texas,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$80.00,,www.austinventures.com,,,,,,,,,,,,,,,
Kate Bechtold,Vida Ventures (Boston),,,,Venture Capital,www.vidaventures.com,"Canada, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,"Los Angeles, CA",www.vidaventures.com,,No,100%,6.6,8,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Days,3,10%,Medium,44%,Yes
Daniel P. Penberthy,Rand Capital BDC (NAS: RAND),,,,Business Development Company,www.randcapital.com,New York,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.randcapital.com,,,,,,,,,,,,,,,
Safa Rashtchy,Think +,,,,Venture Capital,www.thinkplus.vc,"Americas, Canada, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.thinkplus.vc,,,,,,,,,,,,,,,
Jun Ueki,Keiretsu Forum,,,,Venture Capital,www.keiretsuforum.com,,"Angel Round,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$2.00,$0.25,"San Francisco, CA",www.keiretsuforum.com,,,,,,,,,,,,,,,
Lawrence W. Greer,Greer Capital Advisors,,,,Venture Capital,www.greercap.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Mountain Brook, AL",www.greercap.com,,,,,,,,,,,,,,,
Yatin Patil,D4HI,,,,Venture Capital,www.d4hi.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.50,"Cumming, GA",www.d4hi.com,,,,,,,,,,,,,,,
Thomas Bliska,Crosslink Capital,,,,Venture Capital,www.crosslinkcapital.com,"United States, Western Europe","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.80,"San Francisco, CA",www.crosslinkcapital.com,,,,,,,,,,,,,,,
Matthew Miller,Walden Venture Capital,,,,Venture Capital,www.waldenvc.com,,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.waldenvc.com,,,,,,,,,,,,,,,
Joseph Simms,Michigan Angel Fund,,,,Angel Group,www.miangelfund.com,Michigan,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"Ann Arbor, MI",www.miangelfund.com,,,,,,,,,,,,,,,
Arun Ramamoorthy,Pinnacle Ventures,,,,Venture Capital,pinnacleventures.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$25.00,,pinnacleventures.com,,,,,,,,,,,,,,,
Joseph Edelman,Perceptive Advisors,,,,Hedge Fund,www.perceptivelife.com,United States,"Add-on,Early Stage,IPO,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,"New York, NY",www.perceptivelife.com,,,,,,,,,,,,,,,
Matthew Lee,Progression Fund,,,,Venture Capital,www.progression.fund,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.15,$0.25,"Los Angeles, CA",www.progression.fund,,,,,,,,,,,,,,,
Asheem Chandna,Greylock Partners,,,,Venture Capital,www.greylock.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$200.00,$0.05,"Menlo Park, CA",www.greylock.com,,,,,,,,,,,,,,,
Clay Corman,Collective Capital Ventures,,,,Venture Capital,www.ccventures.co,Southeast,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.ccventures.co,,,,,,,,,,,,,,,
Pejman Nozad,Pear VC,,,,Angel (individual), https://pear.vc/people/pejman-nozad/,"California, Europe",,,"Convertible Debt,SAFE,Debt",$0.03,$1.00,"Palo Alto, CA", ,,,,,,,,,,,,,,,
Andre Bliznyuk,Runa Capital,,,,Venture Capital,www.runacap.com,"California, England, France, Germany, North America, Russia, Southern California","Early Stage,Late Stage,M&A,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Palo Alto, CA",www.runacap.com,,,,,,,,,,,,,,,
Kesha Cash,Impact America Fund,,,,Venture Capital,www.impactamericafund.com,United States,"Bridge,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"Oakland, CA",www.impactamericafund.com,,,,,,,,,,,,,,,
John R. Black,H.I.G. Growth Partners,,,,Growth/Expansion,www.higgrowth.com, ,PE Growth/Expansion,,"Convertible Debt,SAFE,Debt",$0.50,$7.50,"Miami, FL",www.higgrowth.com,,,,,,,,,,,,,,,
Chris Heivly,The Startup Factory,,,,Accelerator/Incubator,www.thestartupfactory.co,Southeast,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.02,"Durham, NC",www.thestartupfactory.co,,,,,,,,,,,,,,,
Jonathan Gosier,Southbox,,,,Venture Capital,www.southbox.io,"Georgia, North America","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Philadelphia, PA",www.southbox.io,,,,,,,,,,,,,,,
Richard Chilton,BlueWing Ventures,,,,Venture Capital,www.bluewing.vc, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Washington, DC",www.bluewing.vc,,,,,,,,,,,,,,,
Michael Biggee,Trident Capital,,,,Venture Capital,www.tridentcap.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$30.00,"San Mateo, CA",www.tridentcap.com,,,,,,,,,,,,,,,
Phil Nadel,Forefront Venture Partners,,,,Venture Capital,www.forefrontvp.com,"Canada, Israel, United States, Western Europe","Bridge,Early Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"Boca Raton, FL",www.forefrontvp.com,,,,,,,,,,,,,,,
James Lee,Vertex Holdings,,,,Venture Capital,www.vertexholdings.com,"California, China, Israel, Southeast Asia, Taiwan, Western Europe","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$20.00,,www.vertexholdings.com,,,,,,,,,,,,,,,
Chester Schwartz,Waveland Ventures,,,,Venture Capital,www.wavelandventures.com,United States,"Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.25,"Austin, TX",www.wavelandventures.com,Over $10 Billion,Yes,9%,7.0,90,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,4,20%,High,56%,Yes
Barry E. Silbert,Digital Currency Group,,,,Corporate Venture Capital,www.dcg.co, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"New York, NY",www.dcg.co,,,,,,,,,,,,,,,
William Hudson,Noro-Moseley Partners,,,,Venture Capital,www.noromoseley.com,United States,"Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.60,$1.00,"Atlanta, GA",www.noromoseley.com,,,,,,,,,,,,,,,
Steve Brotman,Alpha Partners,,,,Venture Capital,www.alphapartners.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$5.00,"New York, NY",www.alphapartners.com,,,,,,,,,,,,,,,
,Aslanoba Capital,,,,Venture Capital,www.aslanobacapital.com,Turkey,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.21,"Istanbul, Turkey",www.aslanobacapital.com,,,,,,,,,,,,,,,
Chih-Kai Cheng,Harbinger Venture Management,,,,Venture Capital,www.harbingervc.com,"Asia, North America","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Taipei, Taiwan",www.harbingervc.com,,,,,,,,,,,,,,,
Brett Crosby,Brett Crosby,,,,Angel (individual), ,California,,,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"San Francisco, CA", ,,,,,,,,,,,,,,,
Jennifer Zimmerman,General Catalyst,,,,Venture Capital,www.generalcatalyst.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.generalcatalyst.com,,,,,,,,,,,,,,,
Wendy Coya,Vocap Investment Partners,,,,Venture Capital,www.vocappartners.com,"Mid Atlantic, New England, South, Southeast","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.60,"Atlanta, GA",www.vocappartners.com,$5B to $10B,No,30%,1.0,900,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,4,30%,High,75%,Case by case
Anne Rogove Stone,Gurnet Point Capital,,,,PE/Buyout,www.gurnetpointcapital.com,"Canada, Europe, United States","Acquisition Financing,Add-on,Buy-out,Carveout,Corporate Licensing,Early Stage,Late Stage,M&A,PE Growth/Expansion,Public to Private,Secondary Transaction - Private,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$100.00,"Cambridge, MA",www.gurnetpointcapital.com,,,,,,,,,,,,,,,
Pankaj Makkar,Bertelsmann India Investments,,,,Venture Capital,www.biifund.com,,"Early Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$50.00,$60.00,"Noida, India",www.biifund.com,,,,,,,,,,,,,,,
Mark Newhouse,Innosphere Fund,,,,Venture Capital,www.innospherefund.com,Mountain,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.08,"Fort Collins, CO",www.innospherefund.com,,,,,,,,,,,,,,,
John F. Keane,King Hill Capital,,,,Venture Capital,www.kinghillcapital.com,,"Early Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Boston, MA",www.kinghillcapital.com,,,,,,,,,,,,,,,
Robert Molke,Leader Ventures,,,,Lender/Debt Provider,www.leaderventures.com,United States,,,"Convertible Debt,SAFE,Debt",$1.00,$5.00,"Palo Alto, CA",www.leaderventures.com,,,,,,,,,,,,,,,
Phil K. Yoon,Big Basin Capital,,,,Venture Capital,www.bigbasincapital.com,"North Korea, South Korea, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.bigbasincapital.com,,,,,,,,,,,,,,,
Tadd S. Wessel,Petrichor Healthcare Capital Management,,,,PE/Buyout,www.petrichorcap.com,,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$10.00,$50.00,"New York, NY",www.petrichorcap.com,,,,,,,,,,,,,,,
Ranjan Lal,Mosaix Ventures,,,,Venture Capital,www.mosaixventures.com,United States,Late Stage,,"Convertible Debt,SAFE,Debt",$0.20,$1.00,"Chicago, IL",www.mosaixventures.com,,,,,,,,,,,,,,,
Jewel Burks Solomon,Collab Studio,,,,Venture Capital,www.collab.capital,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.10,"Atlanta, GA",www.collab.capital,,,,,,,,,,,,,,,
Hilary Strain,Wing Venture Capital,,,,Venture Capital,www.wing.vc,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$8.00,$10.00,"Palo Alto, CA",www.wing.vc,,,,,,,,,,,,,,,
Argeris N. Karabelas,Care Capital,,,,Venture Capital,www.carecapital.com,"Europe, United States","Buy-out,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,"Avon by the Sea, NJ",www.carecapital.com,,,,,,,,,,,,,,,
James G. Schiff,Northwood Ventures,,,,PE/Buyout,www.northwoodventures.com,,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$4.00,$12.00,"Syosset, NY",www.northwoodventures.com,,,,,,,,,,,,,,,
Rob Go,NextView Ventures,,,,Venture Capital,www.nextview.vc,North America,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.15,"Boston, MA",www.nextview.vc,,,,,,,,,,,,,,,
Hasso Plattner,Hasso Plattner Ventures,,,,Venture Capital,www.hp-ventures.com,"Europe, United States",,,"Convertible Debt,SAFE,Debt",$5.00,$30.00,"Potsdam, Germany",www.hp-ventures.com,,,,,,,,,,,,,,,
Jay Lance,PeakSpan Capital,,,,Growth/Expansion,www.peakspancapital.com,"North America, United States",,,"Convertible Debt,SAFE,Debt",$5.00,$30.00,"San Mateo, CA",www.peakspancapital.com,,,,,,,,,,,,,,,
Garry Tan,Garry Tan,,,,Angel (individual), ,"New York, North America, United Kingdom",,,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"San Francisco, CA", ,,,,,,,,,,,,,,,
Roddy J.H. Clark,Redmont Capital,,,,Mezzanine,www.redmontcapital.com,"Southeast, Texas","Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.redmontcapital.com,,,,,,,,,,,,,,,
Kevin Croy,9Mile Labs,,,,Venture Capital,www.9milelabs.com,United States,,,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"Seattle, WA",www.9milelabs.com,,,,,,,,,,,,,,,
Sandeep Singhal,WestBridge Capital Partners,,,,Venture Capital,www.westbridgecap.com,India,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$8.00,"Ebene, Mauritius",www.westbridgecap.com,Over $10 Billion,No,6%,6.0,4,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,1,,High,12%,No
Stephen Carpenter,Life Sciences Greenhouse of Central Pennsylvania,,,,Venture Capital,www.lsgpa.com,Pennsylvania,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"Harrisburg, PA",www.lsgpa.com,,,,,,,,,,,,,,,
Rakesh Sehgal,GE Capital,,,,Lender/Debt Provider,www.gecapital.com,"Africa, East Asia, Mid Atlantic, Middle East, Midwest, Mountain, Northeast, Northwest, Southeast, Southwest, West Coast, Western Europe","Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion",,Loan,$0.30,$1.50,"Norwalk, CT",www.gecapital.com,,,,,,,,,,,,,,,
Alice Linnehan Smith,LaunchCapital,,,,Venture Capital,www.launchcapital.com,"Bay Area, New York","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.01,"New Haven, CT",www.launchcapital.com,,,,,,,,,,,,,,,
Michael Kubzansky,Omidyar Network,,,,Impact Investing,www.omidyar.com,"Africa, Asia, Central America, Europe, South America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,Grant,$0.05,$1.00,"Redwood City, CA",www.omidyar.com,,,,,,,,,,,,,,,
Rick DeVos,Wakestream Ventures,,,,Venture Capital,www.wakestreamventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.50,$0.15,"Grand Rapids, MI",www.wakestreamventures.com,,,,,,,,,,,,,,,
Jeffrey P. Blanchard,First Capital Group,,,,Growth/Expansion,www.firstcapitalgroup.com,"Southwest, Texas","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.60,"San Antonio, TX",www.firstcapitalgroup.com,,,,,,,,,,,,,,,
Calvin Goforth,VIC Technology Venture Development,,,,Venture Capital,www.victech.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$0.50,"Fayetteville, AR",www.victech.com,,,,,,,,,,,,,,,
Ajay Chopra,Trinity Ventures,,,,Venture Capital,www.trinityventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$2.50,"Menlo Park, CA",www.trinityventures.com,,,,,,,,,,,,,,,
Benjamin Ling, Bling Capital,,,,Angel (individual), ,"408, 650, California, England, New York, Utah",,,"Convertible Debt,SAFE,Debt",$0.25,$10.00,"San Francisco, CA", ,,,,,,,,,,,,,,,
Robert Wang,Soma Ventures,,,,Venture Capital,www.soma.ventures, ,,,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"San Francisco, CA",www.soma.ventures,,,,,,,,,,,,,,,
Lu Zhang,Fusion Fund,,,,Venture Capital,www.fusionfund.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.fusionfund.com,,,,,,,,,,,,,,,
Frank Rimalovski,NYU Innovation Venture Fund,,,,Accelerator/Incubator,entrepreneur.nyu.edu/resource/innovation-venture-fund,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,,entrepreneur.nyu.edu/resource/innovation-venture-fund,,,,,,,,,,,,,,,
T.J. Jubeir,New Horizons Venture Capital,,,,Venture Capital,www.newhorizonsvc.com,Mid Atlantic,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.newhorizonsvc.com,,,,,,,,,,,,,,,
Sean O'Sullivan,SOSV,,,,Venture Capital,www.sosv.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$2.50,$0.03,"Princeton, NJ",www.sosv.com,,,,,,,,,,,,,,,
Mark Levine,Core Capital Partners,,,,Venture Capital,www.core-capital.com,Mid Atlantic,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"Washington, DC",www.core-capital.com,,,,,,,,,,,,,,,
Jason Peterson,GoDigital Media Group,,,,Corporation,www.godigitalmg.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania,   United States",,,"Convertible Debt,SAFE,Debt",$0.25,$250.00,"Marina del Rey, CA",www.godigitalmg.com,,,,,,,,,,,,,,,
,Dolphin Equity Partners,,,,Venture Capital,www.dolphinequity.com,"Canada, United States, Western Europe","Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.25,$0.50,"New York, NY",www.dolphinequity.com,,,,,,,,,,,,,,,
Matthew D. Eitner,Laidlaw & Company,,,,Investment Bank,www.laidlawltd.com,"Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.laidlawltd.com,,,,,,,,,,,,,,,
Tal Elyashiv,SPiCE VC,,,,Venture Capital,www.spicevc.com, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.30,$0.50,"Singapore, Singapore",www.spicevc.com,,,,,,,,,,,,,,,
Vinnie Lauria,Golden Gate Ventures,,,,Venture Capital,www.goldengate.vc,Southeast Asia,"Bridge,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Singapore, Singapore",www.goldengate.vc,,,,,,,,,,,,,,,
Matías Nisenson,Myelin VC,,,,Venture Capital,myelin.vc, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Buenos Aires, Argentina",myelin.vc,,,,,,,,,,,,,,,
Todd Stavish,SRI Ventures,,,,Corporate Venture Capital,https://www.sri.com/ventures/,"Americas, Europe, United States",,,"Convertible Debt,SAFE,Debt",$0.00,$0.25,"Menlo Park, CA", ,,,,,,,,,,,,,,,
Yvonne Campos,Next Act Fund,,,,Angel Group,www.nextactfund.com,Pennsylvania,Angel Round,,"Convertible Debt,SAFE,Debt",$0.02,$0.20,"Pittsburgh, PA",www.nextactfund.com,,,,,,,,,,,,,,,
Rick DeVos,Wakestream Ventures,,,,Venture Capital,www.wakestreamventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.50,$0.15,"Grand Rapids, MI",www.wakestreamventures.com,,,,,,,,,,,,,,,
Artia Moghbel,Draft Ventures,,,,Venture Capital,draftvc.com,"Bay Area, New York, South, Southern California, West Coast","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Francisco, CA",draftvc.com,,,,,,,,,,,,,,,
Sean Seton-Rogers,PROfounders Capital,,,,Venture Capital,www.profounderscapital.com,Europe,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.12,$0.36,"London, United Kingdom",www.profounderscapital.com,,,,,,,,,,,,,,,
Freada Kapor Klein,Kapor Capital,,,,Venture Capital,www.kaporcapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Oakland, CA",www.kaporcapital.com,,,,,,,,,,,,,,,
Charles Schwab,Big Sky Partners,,,,Venture Capital,www.bigskyvc.com, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Sausalito, CA",www.bigskyvc.com,,,,,,,,,,,,,,,
John Leckrone,Adobe Ventures,,,,Corporate Venture Capital, https://www.adobe.com/ventures.html,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"San Jose, CA", ,,,,,,,,,,,,,,,
Ariel Arrieta,Ariel Arrieta,,,,Angel (individual),ArielArrieta.com,"408, 650, Argentina, Chile, Spain",,,"Convertible Debt,SAFE,Debt",$0.01,$0.50,Argentina,ArielArrieta.com,,,,,,,,,,,,,,,
Donald R. Scifres,SDL Ventures,,,,Venture Capital,www.sdlventures.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.sdlventures.com,,,,,,,,,,,,,,,
Steven Blackburn,AGS Capital Group,,,,Venture Capital,www.ags-capital.com,,"Acquisition Financing,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Debt,Loan",$0.20,$3.00,"Indianapolis, IN",www.ags-capital.com,,,,,,,,,,,,,,,
Keith D. Bank,KB Partners,,,,Venture Capital,www.kbpartners.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$3.00,,www.kbpartners.com,,,,,,,,,,,,,,,
Michael C. Skaff,Seneca Partners,,,,Investment Bank,www.senecapartners.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$20.00,,www.senecapartners.com,,,,,,,,,,,,,,,
Jeanne Hebert,Cove Fund,,,,Growth/Expansion,www.covefund.com,Southern California,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"Irvine, CA",www.covefund.com,,,,,,,,,,,,,,,
Colin Beirne,Two Sigma Ventures,,,,Venture Capital,twosigmaventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$5.00,$10.00,"New York, NY",twosigmaventures.com,,,,,,,,,,,,,,,
Thomas Peterson,Social Leverage,,,,Venture Capital,www.socialleverage.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Scottsdale, AZ",www.socialleverage.com,,,,,,,,,,,,,,,
Kathy Chen,Ulu Ventures,,,,Venture Capital,www.uluventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.08,$0.10,"Palo Alto, CA",www.uluventures.com,,No,30%,9.0,115,10X and above,"IPO,Liquidation",Weak,Heavily Involved ,Weeks,2,70%,High,45%,No
Stephen R. Haynes,Glengary,,,,Venture Capital,glengaryllc.com,Ohio,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.15,"Beachwood, OH",glengaryllc.com,,,,,,,,,,,,,,,
Tatsuo Tsutsumi,STRIVE (VC Investor),,,,Corporate Venture Capital,www.strive.vc,"India, Japan, Southeast Asia","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.30,"Tokyo, Japan",www.strive.vc,,,,,,,,,,,,,,,
Bryant E. Fong,Biomark Capital,,,,PE/Buyout,www.biomarkcapital.com,"China, India, North America, Russia, Taiwan","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,"Greenwich, CT",www.biomarkcapital.com,,,,,,,,,,,,,,,
Benjamin Belldegrun,Pontifax Global Food and Agriculture Technology Fund,,,,Venture Capital,www.pontifaxagtech.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$10.00,$30.00,"Los Angeles, CA",www.pontifaxagtech.com,,,,,,,,,,,,,,,
